,MJD,FLT,FLUXCAL,FLUXCALERR,PHOTFLAG,PHOTPROB,ZPFLUX,PSF,SKYSIG,SKYSIG_T,GAIN,XPIX,YPIX,EXPNUM,CCDNUM,OBJID,SNID
0,58712.242,z,268.39,28.554000000000002,12288,0.845,33.080999999999996,3.48,257.5,159.3,1.03,1898.23,2344.26,887519,17,30333361,625985
1,58716.227999999996,i,229.93,7.0558,12288,0.89,33.448,2.133,143.4,144.8,1.04,1475.45,295.98,888868,34,31598067,627577
2,58713.292,i,235.49,10.994000000000002,12288,0.86,32.811,2.414,144.4,81.0,1.04,1474.82,305.85,887863,34,30344470,627577
3,58712.249,i,244.94,23.715,12288,0.721,32.576,4.029,147.7,63.7,1.04,1521.04,287.96,887522,34,30313428,627577
4,58711.276,i,293.56,32.06,12288,0.815,32.321999999999996,2.84,233.9,54.0,1.04,1468.05,286.41,887166,34,30495833,627577
5,58716.212,i,249.84,9.1798,12288,0.9,33.467,2.17,258.0,120.9,1.0,972.56,3724.93,888862,50,31458033,631360
6,58713.279,i,171.91,20.428,12288,0.9,32.84,2.045,424.4,67.8,1.0,955.91,3708.7,887857,50,30534156,631360
7,58713.282999999996,i,234.29,19.25,12288,0.9329999999999999,32.830999999999996,2.089,1008.7,66.0,0.96,948.63,892.44,887859,39,30443395,626761
8,58712.240999999995,i,275.94,21.954,12288,0.88,32.577,3.815,154.3,52.2,0.96,1000.97,879.05,887518,39,30185182,626761
9,58716.185999999994,i,286.22,9.0555,12288,0.93,33.458,2.169,317.1,116.0,1.0,1179.77,2399.79,888852,50,31702409,626761
10,58713.258,i,283.01,19.384,12288,0.9329999999999999,32.848,2.377,617.2,66.1,1.0,1173.09,2428.3,887847,50,30572795,626761
11,58711.242,i,355.74,29.771,12288,0.879,32.304,2.307,485.8,40.0,1.0,1162.33,2386.68,887150,50,30581571,626761
12,58716.198,z,104.0,11.773,12288,0.843,33.719,2.301,267.2,288.1,1.0,1073.04,1945.98,888857,12,31629064,627394
13,58713.247,z,145.66,22.066999999999997,12288,0.713,33.228,2.221,513.3,217.1,0.98,1955.26,1234.31,887842,11,30611805,625030
14,58713.251,z,159.05,17.188,12288,0.72,33.221,2.29,371.1,202.6,0.98,1695.65,1360.96,887844,56,30622192,625030
15,58726.204000000005,i,254.42,3.4446,12288,0.9390000000000001,33.881,1.8719999999999999,124.4,119.5,1.02,471.04,1715.07,892156,54,32497867,626956
16,58713.255999999994,z,269.19,18.895,12288,0.91,33.2,2.225,1016.2,157.5,1.02,2015.61,2869.7,887846,22,30316251,626956
17,58716.182,z,308.45,11.536,12288,0.715,33.713,1.963,541.7,261.8,1.02,2020.99,2841.68,888851,22,31260867,626956
18,58712.207,i,314.77,25.609,12288,0.746,33.009,3.572,401.1,90.4,1.04,1141.73,1189.81,887502,28,30256142,625878
19,58716.177,z,201.54,10.51,12288,0.813,33.721,1.93,333.6,295.1,1.01,539.85,2664.24,888849,41,31226951,625878
20,58713.25,i,263.88,29.32,12288,0.912,32.825,2.6039999999999996,458.7,76.0,1.04,1130.19,1413.92,887843,28,30653359,625878
21,58716.175,i,336.79,9.759,12288,0.96,33.448,2.114,395.2,135.2,1.04,1114.64,1391.08,888848,28,31231047,625878
22,58713.251,z,235.39,17.096,12288,0.92,33.222,2.2030000000000003,381.8,192.2,1.01,545.91,2688.05,887844,41,30656001,625878
23,58713.262,i,250.5,29.169,12288,0.746,32.821,2.266,504.0,70.8,0.98,180.66,805.37,887849,55,30243857,625673
24,58713.282999999996,i,59.905,14.959000000000001,12290,0.723,32.830999999999996,2.01,1005.3,75.0,1.03,768.5,2049.74,887859,20,30246510,627832
25,58716.22,z,116.46,10.527999999999999,12288,0.873,33.744,2.088,275.7,335.0,0.99,202.51,3308.71,888865,33,31459437,627832
26,58716.198,z,273.82,11.959000000000001,12288,0.95,33.716,2.269,269.2,308.2,1.02,1926.94,3693.03,888857,37,31313138,661833
27,58713.268,z,238.08,17.03,12288,0.863,33.203,1.97,458.1,192.1,1.02,1901.17,3704.47,887852,37,30250909,661833
28,58716.21400000001,z,233.7,11.232000000000001,12288,0.805,33.723,2.115,346.8,287.5,0.98,339.65,1424.35,888863,11,31421040,625263
29,58716.172,z,194.14,15.889000000000001,12288,0.73,33.683,2.1830000000000003,509.9,286.7,1.01,1029.45,425.04,888847,54,31220221,624252
30,58712.203,i,235.64,23.748,12288,0.828,32.991,3.455,280.7,80.6,1.06,1647.99,3188.7,887500,42,30172126,624252
31,58716.193,z,193.82,13.126,12288,0.943,33.724000000000004,2.302,417.0,383.9,1.03,538.07,3042.94,888855,49,31278242,627288
32,58712.274000000005,i,122.78,16.539,12290,0.9079999999999999,32.597,3.015,146.4,58.9,1.0,627.53,315.35,887534,51,30297150,625839
33,58711.301,i,95.211,20.619,12290,0.74,32.455,2.457,217.7,51.6,1.0,578.59,315.76,887178,51,30440566,625839
34,58713.293,z,128.8,12.290999999999999,12288,0.81,33.219,2.28,234.9,221.8,1.0,1351.47,3537.45,887864,12,30505001,627249
35,58726.198,i,74.225,3.7222,12288,0.94,33.891,1.825,126.6,190.1,1.01,1656.1,3117.0,892154,14,32339871,627337
36,58713.285,z,98.456,12.775,12288,0.86,33.224000000000004,2.167,280.2,199.4,1.01,917.54,2604.79,887860,14,30368361,627337
37,58716.22,z,98.22399999999999,10.932,12288,0.873,33.736999999999995,2.0780000000000003,334.4,320.7,1.01,907.18,2604.48,888865,14,31525754,627337
