MJD,FLT,FLUXCAL,FLUXCALERR,PHOTFLAG,PHOTPROB,ZPFLUX,PSF,SKYSIG,SKYSIG_T,GAIN,XPIX,YPIX,EXPNUM,CCDNUM,SNID,ACTION,COMMENT,TIME,USER,OBJID_COPY,BATCH
58453.097,g,64.256,7.074,4608,0.392,31.632,2.064,19.3,11.3,1.04,1510.48,4071.47,798208,22,5579107,Other,masked,04/11/20 20:57:29,ramorgan2,278726046.0,1
58375.249,r,37.266999999999996,5.6505,4096,0.33799999999999997,31.737,2.073,29.2,14.1,1.03,580.5,73.8,773337,54,5471272,Other,comically saturated,04/11/20 20:18:30,ramorgan2,265159064.0,3
58468.04,z,162.48,16.797,4098,0.112,32.907,2.02,175.6,154.2,0.94,1899.49,1856.81,803526,11,5870415,Other,saturated,04/11/20 17:36:44,ramorgan2,285847473.0,3
58466.03599999999,i,41.02,5.4343,4096,0.585,33.244,1.784,142.7,102.2,1.02,151.06,306.32,802852,52,5778669,Other,masked,04/11/20 17:46:19,ramorgan2,285382909.0,4
58409.277,i,150.15,10.290999999999999,4098,0.613,31.747,2.2319999999999998,51.8,25.4,0.95,22.82,854.88,784676,39,5517591,Other,,04/11/20 20:21:05,ramorgan2,269093803.0,4
58481.15900000001,r,29.115,4.1178,4096,0.34299999999999997,33.082,2.373,57.9,45.3,0.97,1699.59,4073.82,807039,24,5803845,Other,masked,04/11/20 20:21:24,ramorgan2,289252024.0,5
58376.218,i,200.54,12.064,4096,0.52,31.733,2.293,56.3,23.1,0.92,2028.34,278.98,773738,58,5812288,Other,masked,04/11/20 20:16:45,ramorgan2,286545227.0,5
58449.238,i,34.269,6.5576,4096,0.39299999999999996,31.715999999999998,1.258,59.7,33.0,0.96,24.6,2203.52,796789,62,5751433,Other,masked,04/11/20 20:23:53,ramorgan2,284221425.0,5
58482.15900000001,r,27.75800000000001,4.1448,4096,0.078,33.089,2.086,50.0,52.2,1.02,387.12,600.21,807330,21,5858394,Other,saturated,04/11/20 21:02:37,ramorgan2,289742421.0,6
58459.298,g,57.957,7.3609,4096,0.503,31.618,2.729,21.8,10.4,0.92,1995.28,115.96,800494,16,5836287,Other,masked,04/11/20 21:01:19,ramorgan2,281805631.0,6
58468.04,z,307.23,16.511,4610,0.395,32.907,2.02,175.6,154.2,0.94,1912.25,1855.16,803526,11,5899454,Other,masked and saturated,04/11/20 20:59:20,ramorgan2,285847451.0,7
58455.306,g,32.33,3.7023,4096,0.29,31.653000000000002,1.8019999999999998,20.3,11.4,0.92,1224.85,375.46,799094,40,5742772,Other,"marginal, lensy?",04/13/20 13:07:29,ramorgan2,280475159.0,8
58378.388,i,157.27,12.934000000000001,4610,0.414,31.429000000000002,1.689,57.5,20.0,1.01,441.04,2918.67,774816,6,5846271,Other,moving object,04/13/20 13:17:02,ramorgan2,287770567.0,8
58375.249,r,127.05,7.1627,4096,0.45299999999999996,31.737,2.073,29.2,14.1,1.03,35.63,3916.24,773337,54,5471273,Other,saturated and bad sub,04/13/20 13:10:01,ramorgan2,265159120.0,8
58459.221,g,20.437,4.2392,4096,0.302,31.659,2.2840000000000003,19.6,11.0,1.04,23.5,3346.35,800443,22,5698137,Other,masked,04/13/20 16:52:28,ramorgan2,281694695.0,8
58452.279,r,61.46100000000001,6.8497,4096,0.37,31.751,1.911,39.5,13.9,0.96,772.06,2040.68,797954,48,5641639,Other,looks like real transient with poorly-subtracted host and masking,04/13/20 16:31:18,ramorgan2,277815394.0,9
58449.13400000001,r,76.243,5.4505,4096,0.695,31.75800000000001,1.46,42.4,13.8,0.94,697.17,240.96,796724,39,5620743,Other,lensy but diff is saturated,04/13/20 16:40:12,ramorgan2,275934913.0,9
58454.278,g,56.177,5.1423,4096,0.385,31.593000000000004,2.082,20.4,9.5,0.96,381.15,100.22,798709,32,5724127,Other,lensy but bad sub in diff,04/13/20 21:59:59,ramorgan2,282951379.0,10
58431.297,r,66.26,7.5885,4096,0.363,31.775,2.397,34.8,16.2,0.91,2007.35,128.36,792535,5,5569662,Other,,04/13/20 18:15:46,ramorgan2,272617178.0,10
58412.097,z,267.01,19.169,4098,0.355,31.482,1.787,99.4,44.2,0.99,23.34,3503.82,785762,29,5536309,Other,,04/13/20 16:34:17,ramorgan2,269995279.0,10
58377.386,g,299.49,9.245,12288,0.887,31.664,3.503,20.2,12.3,1.04,1156.14,1534.37,774385,26,5819455,Other,good transient but poorly subtracted host,04/13/20 21:59:06,ramorgan2,287028553.0,10
58481.15900000001,r,44.543,4.0042,4608,0.54,33.082,2.373,57.9,45.3,0.97,900.71,1673.15,807039,24,5874275,Other,"huge galaxy, lots of masking",04/13/20 16:36:12,ramorgan2,289247133.0,10
58481.125,g,21.645,3.3898,4096,0.385,32.971,2.636,35.3,44.6,1.04,328.03,1061.31,807030,41,5870538,Other,lots of bad stuff but I guess psf in temp,04/13/20 22:01:46,ramorgan2,289132461.0,10
58380.304,i,57.05,9.9619,4096,0.335,31.707,1.887,57.5,23.7,0.99,2025.39,1526.66,775521,48,5494034,Other,,04/13/20 22:07:16,ramorgan2,266876620.0,12
58483.193,i,51.934,10.015,4096,0.31,31.697,1.886,63.2,38.6,1.02,79.44,238.24,807661,43,5881388,Other,possible that the template has multiple images,04/14/20 12:08:59,ramorgan2,290142987.0,12
58428.136,r,835.39,48.69600000000001,4098,0.325,31.741,2.2319999999999998,32.6,13.6,1.04,148.07,396.96,791246,19,5840597,Other,,04/14/20 11:58:53,ramorgan2,287581071.0,12
